courseid,coursecode,coursename,hoursperweek,numcredits,islab
0,UEHS2242,Applications of Psychology in everyday life,4,4,0
1,UHS2241,Human Relations at Work,4,4,0
2,UHS2243,Film Appreciation,4,4,0
3,UEN2241,Language and Communication,4,4,0
4,UMA2276,Complex Functions and Laplace Transforms,4,4,0
5,UME2201,Fundamentals of Mechanical Engineering and Practices,2,3,1
6,ACY2276,Environmental Science,3,0,0
7,UME2202,Engineering Mechanics,3,3,0
8,UEE2276,Basic Electrical and Electronics Engineering,3,3,0
9,UBM2201,Basics of Electric Circuit Analysis,3,3,0
10,UBM2202,Fundamentals of Electronic Devices and Circuits,4,4,0
11,UBM2203,Sensors for Healthcare,2,3,1
12,UBM2211,Electronic Devices and Circuits Laboratory,0,3,3
